SampleID,SubmitterSampleID,P
18-005104-0001,TCH001,3.29
18-005104-0002,TCH002,3.069
18-005104-0003,TCH003,2.646
18-005104-0004,TCH004,3.045
18-005104-0005,TCH005,2.707
18-005104-0006,TCH006,2.683
18-005104-0007,TCH007,2.939
18-005104-0008,TCH008,3.736
18-005104-0009,TCH009,2.481
18-005104-0010,TCH010,2.593
18-005104-0011,TCH011,3.088
18-005104-0012,TCH012,3.847
18-005104-0013,TCH013,3.927
18-005104-0014,TCH014,2.316
18-005104-0015,TCH015,3.039
18-005104-0016,TCH016,2.453
18-005104-0017,TCH017,3.993
18-005104-0018,TCH018,2.529
18-005104-0019,TCH019,3.468
18-005104-0020,TCH020,2.637
18-005104-0021,TCH021,4.285
18-005104-0022,TCH022,2.828
18-005104-0023,TCH023,3.4
18-005104-0024,TCH024,2.816
18-005104-0025,TCH025,3.511
18-005104-0026,TCH026,3.174
18-005104-0027,TCH027,3.122
18-005104-0028,TCH028,3.215
18-005104-0029,TCH029,3.866
18-005104-0030,TCH030,3.148
18-005104-0031,TCH031,2.655
18-005104-0032,TCH032,2.049
18-005104-0033,TCH033,2.72
18-005104-0034,TCH034,2.262
18-005104-0035,TCH035,3.345
18-005104-0036,TCH036,2.563
18-005104-0037,TCH037_A,2.001
18-005104-0038,TCH037_B,2.302
18-005104-0039,TCH037_C,2.655
18-005104-0040,TCH038,3.454
18-005104-0041,TCH039,2.864
18-005104-0042,TCH040_A,3.372
18-005104-0043,TCH040_B,3.405
18-005104-0044,TCH040_C,2.958
18-005104-0045,TCH041,2.318
18-005104-0046,TCH042_A,2.229
18-005104-0047,TCH042_B,2.921
18-005104-0048,TCH042_C,2.584
18-005104-0049,TCH043,2.797
18-005104-0050,TCH044,2.87
18-005104-0051,TCH045_A,3.201
18-005104-0052,TCH045_B,3.134
18-005104-0053,TCH045_C,2.615
18-005104-0054,TCH046,3.089
18-005104-0055,TCH047,2.294
18-005104-0056,TCH048_A,2.522
18-005104-0057,TCH048_B,2.719
18-005104-0058,TCH048_C,3.072
18-005104-0059,TCH049,2.382
18-005104-0060,TCH050,3.311